ctype	reference_id	expected_genome_length	genome_lower_limit	unresolved_limit
A_HA_H1	CALI07	1701	1531	170
A_HA_H2	ANNARBOR60	1689	1520	169
A_HA_H3	HK4801	1701	1531	170
A_HA_H5	VT1203	1704	1534	170
A_HA_H7	ANHUI01	1683	1515	168
A_HA_H9	BGD0994	1683	1515	168
A_NA_N1	CALI07	1410	1269	141
A_NA_N2	HK4801	1410	1269	141
A_NA_N4	ONTARIO6118	1413	1272	141
A_NA_N5	ALASKA4733	1422	1280	142
A_NA_N5	RU1526	1422	1280	142
A_NA_N6	SICHUAN26221	1413	1272	141
A_NA_N7	NL219	1413	1272	141
A_NA_N8	ASTRAKHAN3212	1413	1272	141
A_NA_N9	ANHUI01	1398	1258	140
